    Freq(Hz),       Input(RMS=6.54),       Limit(RMS=124.76),   Interface(RMS=154.39),     Notched(RMS=2.90)
       20.00,      0.0800,    278.6821,     44.5891,  0.08000000
       30.00,      0.0800,    278.6821,     44.5891,  0.08000000
       40.00,      0.0800,    278.6821,     44.5891,  0.08000000
       50.00,      0.0800,    211.9042,     44.5891,  0.08000000
       60.00,      0.0800,    131.9072,     44.5891,  0.08000000
       70.00,      0.0800,     88.3500,     44.5891,  0.08000000
       80.00,      0.0800,     62.4349,     44.5891,  0.08000000
       90.00,      0.0800,     45.9654,     44.5891,  0.08000000
      100.00,      0.0800,     34.9512,     44.5891,  0.06270794
      110.00,      0.0800,     27.2798,     44.5891,  0.04894424
      120.00,      0.0800,     21.7566,     44.5891,  0.03903474
      120.00,      0.0800,     21.7566,     44.5891,  0.03903474
      126.00,      0.0746,     17.8709,     41.5794,  0.03206328
      132.00,      0.0692,     14.6888,     38.5696,  0.02635399
      138.00,      0.0638,     12.0644,     35.5598,  0.02164550
      144.00,      0.0584,      9.8865,     32.5501,  0.01773793
      150.00,      0.0530,      8.0688,     29.5403,  0.01447675
      156.00,      0.0476,      6.5442,     26.5305,  0.01174128
      162.00,      0.0422,      5.2595,     23.5208,  0.00943639
      168.00,      0.0368,      4.1727,     20.5110,  0.00748645
      174.00,      0.0314,      3.2499,     17.5012,  0.00583088
      180.00,      0.0260,      2.4640,     14.4915,  0.00442076
      180.00,      0.0260,      2.4640,     14.4915,  0.00442076
      198.50,      0.0260,      1.9106,     14.4915,  0.00342790
      217.00,      0.0260,      1.5155,     14.4915,  0.00271901
      235.50,      0.0260,      1.2251,     14.4915,  0.00219801
      254.00,      0.0260,      1.0064,     14.4915,  0.00180567
      272.50,      0.0260,      0.8383,     14.4915,  0.00150402
      291.00,      0.0260,      0.7067,     14.4915,  0.00126790
      309.50,      0.0260,      0.6020,     14.4915,  0.00108016
      328.00,      0.0260,      0.5177,     14.4915,  0.00092883
      346.50,      0.0260,      0.4489,     14.4915,  0.00080534
      365.00,      0.0260,      0.3921,     14.4915,  0.00070347
      365.00,      0.0260,      0.3921,     14.4915,  0.00070347
      528.50,      0.0236,      0.1359,     13.1538,  0.00024391
      692.00,      0.0212,      0.0606,     11.8161,  0.00010872
      855.50,      0.0188,      0.0310,     10.4784,  0.00005554
     1019.00,      0.0164,      0.0171,      9.1408,  0.00003075
     1182.50,      0.0140,      0.0099,      7.8031,  0.00001783
     1346.00,      0.0116,      0.0059,      6.4654,  0.00001055
     1509.50,      0.0092,      0.0035,      5.1278,  0.00000621
     1673.00,      0.0068,      0.0020,      3.7901,  0.00000351
     1836.50,      0.0044,      0.0010,      2.4524,  0.00000178
     2000.00,      0.0020,      0.0004,      1.1147,  0.00000065

M0Limit,M0Interface,Direction,Q,C,C^2,Minimum dB,
231.60,231.60,1,10.00,2.50,6.2500,-34.8846,
